Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,60942.07896643237,,,61636.34033271934
bitcoin,61001.31173991391,,,61476.494711345294
bitcoin,61507.6161244618,,,61367.87016730876
bitcoin,61750.7046005087,,,61300.23771020756
bitcoin,61668.0154604511,,,61254.441307892834
bitcoin,61470.54966687492,,,61205.8137023227
bitcoin,61501.28335760069,,,61227.025444671526
bitcoin,61614.35553203237,,,61311.06493772109
bitcoin,61675.92913789715,,,61392.38413863406
bitcoin,61729.57748038025,,,61486.14220665533
bitcoin,61190.35950053192,,,61510.97026006527
bitcoin,61293.74211108704,,,61540.21329718259
bitcoin,61160.627929869916,,,61505.51447772341
bitcoin,60873.64983332725,,,61417.80900100527
bitcoin,61497.550438711194,,,61400.762498831275
bitcoin,61390.5193746096,,,61392.75946960474
bitcoin,61824.45506572675,,,61425.076640417334
bitcoin,61625.15477143684,,,61426.156564357785
bitcoin,61628.35209254788,,,61421.39885982287
bitcoin,60821.807369266025,,,61330.62184871144
bitcoin,60403.41735330646,,,61251.92763398889
bitcoin,60896.05073328484,,,61212.15849620868
bitcoin,60706.71696375759,,,61166.76739959745
bitcoin,60787.27856276344,,,61158.130272541064
bitcoin,60627.058180398446,,,61071.081046709776
bitcoin,61116.952773807825,,,61043.72438662961
bitcoin,60985.11168581431,,,60959.79004863837
bitcoin,61126.91796468775,,,60909.96636796347
bitcoin,61350.30877307984,,,60882.162036016656
bitcoin,61309.02944358592,,,60930.88424344863
bitcoin,61195.121773880295,,,61010.05468550602
bitcoin,61333.19084795601,,,61053.768696973144
bitcoin,60798.5663906038,,,61062.95363965776
bitcoin,60255.395066532634,,,61009.76529003468
bitcoin,60736.394429169755,,,61020.69891491181
bitcoin,61038.40115605509,,,61012.84375313654
bitcoin,60515.27472549693,,,60965.86005710481
bitcoin,60476.171387359704,,,60900.785399372005
bitcoin,60444.80078445414,,,60810.23460050942
bitcoin,60047.21023056539,,,60684.05267920739
bitcoin,60603.02736816297,,,60624.84323863564
bitcoin,60114.29109780189,,,60502.95326362023
bitcoin,60590.99061139087,,,60482.19568569894
bitcoin,60578.342636079724,,,60514.49044265364
bitcoin,61007.84632981549,,,60541.635632718215
bitcoin,60603.79332990731,,,60498.174850103445
bitcoin,60809.95797483321,,,60527.643175037076
bitcoin,60888.677276841765,,,60568.89376398527
bitcoin,60764.622319062924,,,60600.875917446145
bitcoin,60507.363739362074,,,60646.89126832582
bitcoin,61205.87676874549,,,60707.176208384066
bitcoin,60922.44007317838,,,60787.99110592173
bitcoin,61024.65291321176,,,60831.357336103814
bitcoin,61022.732614198496,,,60875.796333915685
bitcoin,61127.61876284449,,,60887.7735772186
bitcoin,61124.400852567356,,,60939.83432948459
bitcoin,61438.61955380302,,,61002.70048738157
bitcoin,61452.881049157106,,,61059.12086461311
